Gene_id	Description
ofav3583	Pre-B-cell leukemia transcription factor 1 OS=Xenopus tropicalis GN=pbx1 PE=2 SV=1 E(blastx)=2e-46
ofav44206	Synaptotagmin-7 OS=Homo sapiens GN=SYT7 PE=1 SV=3 E(blastx)=2e-30
ofav141306	Paired amphipathic helix protein Sin3a OS=Mus musculus GN=Sin3a PE=1 SV=3 E(blastx)=2e-34
ofav115764	Low-density lipoprotein receptor-related protein 2 OS=Mus musculus GN=Lrp2 PE=1 SV=1 E(blastx)=7e-17
ofav21638	Eukaryotic translation initiation factor 3 subunit C OS=Xenopus laevis GN=eif3c PE=2 SV=1 E(blastx)=3e-43
ofav7635	Tripeptidyl-peptidase 2 OS=Bos taurus GN=TPP2 PE=2 SV=1 E(blastx)=1e-70
ofav34392	Protein cornichon homolog 1 OS=Pongo abelii GN=CNIH1 PE=2 SV=1 E(blastx)=5e-75
ofav139156	E3 ubiquitin-protein ligase TRIM71 OS=Danio rerio GN=trim71 PE=2 SV=1 E(blastx)=2e-08
ofav6679	Protein KIAA0100 OS=Mus musculus GN=Kiaa0100 PE=1 SV=1 E(blastx)=3e-98
ofav30817	Polycystic kidney disease protein 1-like 2 OS=Mus musculus GN=Pkd1l2 PE=2 SV=1 E(blastx)=9e-19
ofav1918	7,8-dihydro-8-oxoguanine triphosphatase OS=Rattus norvegicus GN=Nudt1 PE=1 SV=1 E(blastx)=2e-43
ofav64908	Ubiquitin-like domain-containing CTD phosphatase 1 OS=Xenopus tropicalis GN=ublcp1 PE=2 SV=1 E(blastx)=5e-76
ofav42478	Protein FAM69C OS=Homo sapiens GN=FAM69C PE=2 SV=3 E(blastx)=2e-45
ofav149693	Spermatogenesis-associated protein 7 OS=Homo sapiens GN=SPATA7 PE=1 SV=3 E(blastx)=2e-11
ofav31227	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase OS=Lithobates catesbeiana PE=2 SV=1 E(blastx)=2e-68
ofav54949	Pyruvate carboxylase 1 OS=Caenorhabditis elegans GN=pyc-1 PE=1 SV=1 E(blastx)=5e-147
ofav4460	Protocadherin Fat 4 OS=Homo sapiens GN=FAT4 PE=1 SV=2 E(blastx)=3e-18
ofav37991	Transmembrane protein 50B OS=Mus musculus GN=Tmem50b PE=1 SV=1 E(blastx)=1e-59
ofav150934	Short transient receptor potential channel 4 OS=Bos taurus GN=TRPC4 PE=2 SV=2 E(blastx)=7e-07
ofav66743	Phosphatase and actin regulator 4 OS=Gallus gallus GN=PHACTR4 PE=3 SV=2 E(blastx)=2e-39
ofav119730	Transcriptional repressor NF-X1 OS=Bos taurus GN=NFX1 PE=2 SV=1 E(blastx)=5e-35
ofav105071	Sphingomyelin phosphodiesterase 4 OS=Danio rerio GN=smpd4 PE=2 SV=1 E(blastx)=2e-13
ofav102372	Gamma-glutamyltranspeptidase 1 OS=Homo sapiens GN=GGT1 PE=1 SV=2 E(blastx)=8e-27
ofav40872	Nicastrin OS=Rattus norvegicus GN=Ncstn PE=1 SV=1 E(blastx)=3e-17
ofav9338	Cysteine-rich protein 1 OS=Rattus norvegicus GN=Crip1 PE=1 SV=2 E(blastx)=8e-20
ofav91143	Sodium leak channel non-selective protein OS=Rattus norvegicus GN=Nalcn PE=1 SV=1 E(blastx)=4e-95
ofav77381	Quinone oxidoreductase-like protein 2 homolog OS=Nematostella vectensis GN=v1g238856 PE=3 SV=1 E(blastx)=6e-19
ofav69033	Endophilin-A2 OS=Gallus gallus GN=SH3GL1 PE=1 SV=1 E(blastx)=3e-18
ofav139679	Ribonuclease P/MRP protein subunit POP5 OS=Mus musculus GN=Pop5 PE=1 SV=1 E(blastx)=1e-07
ofav69333	Unconventional myosin-Vb OS=Mus musculus GN=Myo5b PE=1 SV=2 E(blastx)=7e-42
ofav24689	Regulating synaptic membrane exocytosis protein 2 OS=Mus musculus GN=Rims2 PE=1 SV=1 E(blastx)=1e-16
ofav38852	Homer protein homolog 2 OS=Homo sapiens GN=HOMER2 PE=1 SV=1 E(blastx)=5e-48
ofav71568	Nuclear receptor subfamily 2 group C member 2 OS=Mus musculus GN=Nr2c2 PE=1 SV=1 E(blastx)=7e-156
ofav150899	Putative serine/threonine-protein kinase/receptor R831 OS=Acanthamoeba polyphaga mimivirus GN=MIMI_R831 PE=3 SV=2 E(blastx)=2e-07
ofav62772	Geranylgeranyl pyrophosphate synthase OS=Mus musculus GN=Ggps1 PE=1 SV=1 E(blastx)=4e-31
ofav63080	Centrosome and spindle pole-associated protein 1 OS=Homo sapiens GN=CSPP1 PE=1 SV=4 E(blastx)=4e-07
ofav39372	Protein max OS=Homo sapiens GN=MAX PE=1 SV=1 E(blastx)=5e-46
ofav45803	Tax1-binding protein 1 homolog B OS=Danio rerio GN=tax1bp1b PE=2 SV=3 E(blastx)=5e-36
ofav31797	Dymeclin OS=Xenopus laevis GN=dym PE=2 SV=1 E(blastx)=4e-15
ofav14190	O-acetyl-ADP-ribose deacetylase MACROD1 OS=Mus musculus GN=Macrod1 PE=1 SV=2 E(blastx)=1e-79
ofav3986	Cathepsin D OS=Chionodraco hamatus GN=ctsd PE=1 SV=2 E(blastx)=2e-78
ofav36835	Gelsolin OS=Homo sapiens GN=GSN PE=1 SV=1 E(blastx)=1e-31
ofav73884	TFIIH basal transcription factor complex helicase XPB subunit OS=Pongo abelii GN=ERCC3 PE=2 SV=1 E(blastx)=1e-08
ofav107	Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=2 E(blastx)=7e-19
ofav16609	Bromo adjacent homology domain-containing 1 protein OS=Mus musculus GN=Bahd1 PE=1 SV=1 E(blastx)=2e-122
ofav77937	Probable serine/threonine-protein kinase fhkA OS=Dictyostelium discoideum GN=fhkA PE=3 SV=1 E(blastx)=2e-12
ofav43989	Stromal cell-derived factor 2 OS=Mus musculus GN=Sdf2 PE=1 SV=1 E(blastx)=2e-70
ofav114381	ER degradation-enhancing alpha-mannosidase-like protein 1 OS=Mus musculus GN=Edem1 PE=1 SV=1 E(blastx)=2e-48
ofav44522	Granulins OS=Homo sapiens GN=GRN PE=1 SV=2 E(blastx)=7e-19
ofav22902	PIH1 domain-containing protein 2 OS=Mus musculus GN=Pih1d2 PE=1 SV=1 E(blastx)=2e-39
ofav45433	CD151 antigen OS=Homo sapiens GN=CD151 PE=1 SV=3 E(blastx)=1e-39
ofav100912	Glucosamine-6-phosphate isomerase 2 OS=Mus musculus GN=Gnpda2 PE=1 SV=1 E(blastx)=5e-80
ofav45958	UMP-CMP kinase 1 OS=Oryza sativa subsp. japonica GN=Os06g0109600 PE=2 SV=1 E(blastx)=3e-06
ofav37570	E3 ubiquitin-protein ligase MARCH2 OS=Homo sapiens GN=MARCH2 PE=1 SV=1 E(blastx)=3e-11
ofav76845	Solute carrier family 25 member 36 OS=Mus musculus GN=Slc25a36 PE=2 SV=1 E(blastx)=2e-27
ofav59877	Protein capicua homolog OS=Mus musculus GN=Cic PE=1 SV=2 E(blastx)=3e-22
ofav59837	Poly [ADP-ribose] polymerase 1 (Fragment) OS=Xenopus laevis GN=parp1 PE=2 SV=1 E(blastx)=2e-80
ofav112130	Fructose-bisphosphate aldolase A OS=Salmo salar PE=1 SV=1 E(blastx)=4e-47
ofav121530	Tyrosine-protein kinase transforming protein Abl OS=Abelson murine leukemia virus GN=ABL PE=3 SV=1 E(blastx)=1e-57
ofav39159	Protein zer-1 homolog OS=Mus musculus GN=Zer1 PE=1 SV=1 E(blastx)=2e-84
ofav142142	Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Sus scrofa GN=PIK3C3 PE=2 SV=1 E(blastx)=2e-23
ofav78899	Lysine-specific demethylase 3A OS=Mus musculus GN=Kdm3a PE=1 SV=1 E(blastx)=3e-15
ofav65975	Fanconi anemia group J protein OS=Homo sapiens GN=BRIP1 PE=1 SV=1 E(blastx)=2e-55
ofav133309	Dipeptidyl peptidase 2 OS=Mus musculus GN=Dpp7 PE=1 SV=2 E(blastx)=1e-42
ofav39198	Thioredoxin domain-containing protein 3 homolog OS=Heliocidaris crassispina GN=NME8 PE=1 SV=1 E(blastx)=6e-118
ofav32604	Dynein heavy chain 8, axonemal OS=Homo sapiens GN=DNAH8 PE=1 SV=2 E(blastx)=1e-79
ofav44590	Syntaxin-5 OS=Bos taurus GN=STX5 PE=2 SV=1 E(blastx)=4e-107
ofav141631	E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 PE=1 SV=1 E(blastx)=5e-34
ofav22088	Prolyl 4-hydroxylase subunit alpha-1 OS=Mus musculus GN=P4ha1 PE=1 SV=2 E(blastx)=3e-69
ofav32009	Coenzyme Q-binding protein COQ10 homolog B, mitochondrial OS=Rattus norvegicus GN=Coq10b PE=2 SV=2 E(blastx)=9e-72
ofav63431	Son of sevenless homolog 1 OS=Mus musculus GN=Sos1 PE=1 SV=2 E(blastx)=2e-15
ofav8949	Solute carrier family 41 member 2 OS=Mus musculus GN=Slc41a2 PE=1 SV=1 E(blastx)=3e-42
ofav33384	Zinc finger CCCH domain-containing protein 14 OS=Gallus gallus GN=ZC3H14 PE=2 SV=1 E(blastx)=1e-29
ofav128467	F-box-like/WD repeat-containing protein TBL1XR1 OS=Mus musculus GN=Tbl1xr1 PE=1 SV=1 E(blastx)=2e-35
ofav69470	Serine/threonine-protein kinase tousled-like 1 OS=Mus musculus GN=Tlk1 PE=1 SV=2 E(blastx)=8e-12
ofav31825	Tyrosine-protein kinase transforming protein RYK OS=Avian retrovirus RPL30 GN=V-RYK PE=2 SV=1 E(blastx)=7e-77
ofav41859	Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2 E(blastx)=4e-07
ofav108317	Thymosin beta OS=Caenorhabditis elegans GN=tth-1 PE=1 SV=2 E(blastx)=1e-08
ofav119080	TBC1 domain family member 9 OS=Mus musculus GN=Tbc1d9 PE=2 SV=2 E(blastx)=3e-13
ofav7432	Target of rapamycin complex 2 subunit MAPKAP1 OS=Mus musculus GN=Mapkap1 PE=1 SV=1 E(blastx)=2e-06
ofav38687	Apoptosis-inducing factor 3 OS=Homo sapiens GN=AIFM3 PE=1 SV=1 E(blastx)=3e-105
ofav120950	DnaJ homolog subfamily C member 13 OS=Homo sapiens GN=DNAJC13 PE=1 SV=5 E(blastx)=4e-58
ofav27340	Golgin subfamily A member 2 OS=Homo sapiens GN=GOLGA2 PE=1 SV=3 E(blastx)=2e-147
ofav98042	Polyribonucleotide nucleotidyltransferase 1, mitochondrial OS=Mus musculus GN=Pnpt1 PE=1 SV=1 E(blastx)=1e-179
ofav80690	Ras-related protein Rap-2c OS=Mus musculus GN=Rap2c PE=1 SV=1 E(blastx)=5e-119
ofav120797	Hormone-sensitive lipase OS=Sus scrofa GN=LIPE PE=2 SV=1 E(blastx)=9e-17
ofav40921	Universal stress protein Sll1388 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=sll1388 PE=3 SV=1 E(blastx)=6e-13
ofav52196	Transcription factor AP-1 OS=Sus scrofa GN=JUN PE=2 SV=1 E(blastx)=2e-61
ofav41723	Monocarboxylate transporter 10 OS=Danio rerio GN=slc16a10 PE=2 SV=1 E(blastx)=2e-47
ofav38233	Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Bos taurus GN=GPD2 PE=2 SV=1 E(blastx)=1e-21
ofav117409	Nuclear receptor subfamily 2 group F member 6 OS=Rattus norvegicus GN=Nr2f6 PE=2 SV=1 E(blastx)=1e-51
ofav44072	17-beta-hydroxysteroid dehydrogenase 14 OS=Bos taurus GN=HSD17B14 PE=2 SV=1 E(blastx)=1e-88
ofav57107	THO complex subunit 2 OS=Homo sapiens GN=THOC2 PE=1 SV=2 E(blastx)=1e-23
ofav6404	Ubiquitin carboxyl-terminal hydrolase 25 OS=Homo sapiens GN=USP25 PE=1 SV=4 E(blastx)=6e-41
ofav86731	Serine/threonine-protein kinase PAK 2 OS=Oryctolagus cuniculus GN=PAK2 PE=2 SV=1 E(blastx)=2e-47
ofav4737	Protein fem-1 homolog B OS=Xenopus laevis GN=fem1b PE=2 SV=1 E(blastx)=3e-31
ofav23197	Importin-13 OS=Pongo abelii GN=IPO13 PE=2 SV=1 E(blastx)=3e-06
ofav105955	Intraflagellar transport protein 122 homolog OS=Xenopus tropicalis GN=ift122 PE=2 SV=1 E(blastx)=1e-49
ofav73917	Nitric oxide-associated protein 1 OS=Bos taurus GN=NOA1 PE=2 SV=1 E(blastx)=3e-23
ofav55009	Cysteine--tRNA ligase, cytoplasmic OS=Gallus gallus GN=CARS PE=2 SV=1 E(blastx)=1e-59
ofav10541	Vacuolar protein-sorting-associated protein 25 OS=Mus musculus GN=Vps25 PE=1 SV=1 E(blastx)=1e-114
ofav152103	WD repeat-containing protein 19 OS=Mus musculus GN=Wdr19 PE=1 SV=1 E(blastx)=8e-38
ofav86789	Ubiquitin carboxyl-terminal hydrolase 64E OS=Drosophila melanogaster GN=Ubp64E PE=1 SV=2 E(blastx)=1e-21
ofav57515	MAM and LDL-receptor class A domain-containing protein 1 (Fragment) OS=Acropora millepora PE=1 SV=1 E(blastx)=3e-36
ofav43679	Ubiquitin-conjugating enzyme E2 G1 OS=Rattus norvegicus GN=Ube2g1 PE=2 SV=3 E(blastx)=2e-77
ofav34463	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Xenopus tropicalis GN=uap1l1 PE=2 SV=1 E(blastx)=2e-61
ofav112514	ESF1 homolog OS=Mus musculus GN=Esf1 PE=1 SV=1 E(blastx)=4e-89
ofav67597	FGFR1 oncogene partner 2 homolog OS=Gallus gallus GN=FGFR1OP2 PE=2 SV=1 E(blastx)=4e-50
ofav148142	Nucleolar protein 10 OS=Mus musculus GN=Nol10 PE=2 SV=1 E(blastx)=2e-44
ofav60269	CD9 antigen OS=Mus musculus GN=Cd9 PE=1 SV=2 E(blastx)=5e-140
ofav14560	Spatacsin OS=Homo sapiens GN=SPG11 PE=1 SV=3 E(blastx)=1e-12
ofav84743	Protein SZT2 OS=Homo sapiens GN=SZT2 PE=1 SV=3 E(blastx)=4e-12
ofav80410	Peptidyl-prolyl cis-trans isomerase CWC27 homolog OS=Mus musculus GN=Cwc27 PE=1 SV=1 E(blastx)=1e-38
ofav70938	Unconventional myosin-VI OS=Sus scrofa GN=MYO6 PE=1 SV=1 E(blastx)=1e-80
ofav46480	Ammonium transporter Rh type B OS=Oryzias latipes GN=rhbg PE=2 SV=1 E(blastx)=5e-95
ofav32679	Hippocampus abundant transcript 1 protein OS=Mus musculus GN=Mfsd14a PE=2 SV=3 E(blastx)=2e-47
ofav33856	Serine/arginine-rich splicing factor 1 OS=Pongo abelii GN=SRSF1 PE=2 SV=3 E(blastx)=1e-42
ofav89224	Synaptotagmin-14 OS=Mus musculus GN=Syt14 PE=2 SV=1 E(blastx)=1e-10
ofav37053	Synaptotagmin-16 OS=Mus musculus GN=Syt16 PE=1 SV=1 E(blastx)=1e-06
ofav75301	High-affinity choline transporter 1 OS=Drosophila melanogaster GN=CG7708 PE=2 SV=2 E(blastx)=7e-26
ofav37676	Endothelial differentiation-related factor 1 OS=Homo sapiens GN=EDF1 PE=1 SV=1 E(blastx)=2e-61
ofav54128	Transmembrane channel-like protein 5 OS=Mus musculus GN=Tmc5 PE=2 SV=1 E(blastx)=8e-13
ofav105589	Coronin-7 OS=Mus musculus GN=Coro7 PE=1 SV=2 E(blastx)=9e-19
ofav31647	Vacuolar protein sorting-associated protein 13A OS=Mus musculus GN=Vps13a PE=1 SV=1 E(blastx)=1e-98
ofav22628	U4/U6 small nuclear ribonucleoprotein Prp3 OS=Gallus gallus GN=PRPF3 PE=2 SV=1 E(blastx)=7e-47
ofav17216	PAB-dependent poly(A)-specific ribonuclease subunit PAN2 OS=Gallus gallus GN=PAN2 PE=2 SV=1 E(blastx)=3e-32
ofav81271	E3 ubiquitin-protein ligase HACE1 OS=Rattus norvegicus GN=Hace1 PE=3 SV=1 E(blastx)=3e-81
ofav44970	Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2 E(blastx)=2e-40
ofav80667	Pancreatic secretory granule membrane major glycoprotein GP2 OS=Canis lupus familiaris GN=GP2 PE=1 SV=1 E(blastx)=8e-27
ofav59429	Intraflagellar transport protein 88 homolog OS=Mus musculus GN=Ift88 PE=1 SV=2 E(blastx)=1e-21
ofav160893	Solute carrier family 23 member 2 OS=Mus musculus GN=Slc23a2 PE=1 SV=2 E(blastx)=7e-24
ofav86624	60S ribosomal protein L24 OS=Gillichthys mirabilis GN=rpl24 PE=2 SV=2 E(blastx)=1e-10
ofav39760	Ubiquitin-conjugating enzyme E2 B OS=Rattus norvegicus GN=Ube2b PE=2 SV=1 E(blastx)=8e-104
ofav136795	Aquaporin-10 OS=Homo sapiens GN=AQP10 PE=1 SV=2 E(blastx)=3e-43
ofav31560	5'-AMP-activated protein kinase subunit gamma-1 OS=Mus musculus GN=Prkag1 PE=1 SV=2 E(blastx)=6e-06
ofav5531	Regulator of microtubule dynamics protein 1 OS=Homo sapiens GN=RMDN1 PE=1 SV=1 E(blastx)=5e-73
ofav44831	Serine/threonine-protein kinase TAO3 OS=Homo sapiens GN=TAOK3 PE=1 SV=2 E(blastx)=5e-131
ofav95253	60S ribosomal protein L32 OS=Rattus norvegicus GN=Rpl32 PE=1 SV=2 E(blastx)=2e-39
ofav47211	Ubiquitin thioesterase otubain-like OS=Drosophila melanogaster GN=CG4968 PE=2 SV=1 E(blastx)=3e-93
ofav45445	Beta-secretase 1 OS=Homo sapiens GN=BACE1 PE=1 SV=2 E(blastx)=2e-135
ofav59107	Zinc metalloproteinase nas-4 OS=Caenorhabditis elegans GN=nas-4 PE=2 SV=4 E(blastx)=2e-16
ofav38215	Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4 E(blastx)=9e-07
ofav123761	Protein VPRBP OS=Mus musculus GN=Vprbp PE=1 SV=4 E(blastx)=5e-16
ofav52773	Transforming growth factor beta regulator 1 OS=Homo sapiens GN=TBRG1 PE=1 SV=1 E(blastx)=1e-150
ofav2882	Triokinase/FMN cyclase OS=Mus musculus GN=Tkfc PE=1 SV=1 E(blastx)=1e-28
ofav4207	WD repeat-containing protein 34 OS=Homo sapiens GN=WDR34 PE=1 SV=2 E(blastx)=4e-14
ofav135460	Sulfotransferase family cytosolic 2B member 1 OS=Mus musculus GN=Sult2b1 PE=2 SV=2 E(blastx)=4e-57
ofav8168	Tubulin monoglycylase TTLL3 OS=Homo sapiens GN=TTLL3 PE=1 SV=2 E(blastx)=4e-90
ofav43198	Transcriptional enhancer factor TEF-5 OS=Homo sapiens GN=TEAD3 PE=1 SV=2 E(blastx)=2e-174
ofav22042	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5 E(blastx)=6e-15
ofav38734	Vacuolar protein sorting-associated protein 29 OS=Homo sapiens GN=VPS29 PE=1 SV=1 E(blastx)=1e-109
ofav123671	Protein unc-13 homolog B OS=Mus musculus GN=Unc13b PE=1 SV=2 E(blastx)=1e-87
ofav84194	Mediator of RNA polymerase II transcription subunit 23 OS=Mus musculus GN=Med23 PE=1 SV=2 E(blastx)=1e-153
ofav38145	Cytochrome c oxidase assembly factor 5 OS=Xenopus tropicalis GN=coa5 PE=3 SV=1 E(blastx)=2e-16
ofav149305	Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Mus musculus GN=Rprd1b PE=1 SV=2 E(blastx)=4e-53
ofav35770	Cytoplasmic dynein 2 heavy chain 1 OS=Homo sapiens GN=DYNC2H1 PE=1 SV=4 E(blastx)=3e-41
ofav17587	NEDD4-binding protein 2-like 2 OS=Mus musculus GN=N4bp2l2 PE=2 SV=2 E(blastx)=2e-87
ofav42975	Vacuolar protein sorting-associated protein 53 homolog OS=Pongo abelii GN=VPS53 PE=2 SV=1 E(blastx)=4e-120
ofav59570	Canalicular multispecific organic anion transporter 2 OS=Mus musculus GN=Abcc3 PE=1 SV=1 E(blastx)=6e-23
ofav72519	Neuroligin-4, Y-linked OS=Homo sapiens GN=NLGN4Y PE=2 SV=1 E(blastx)=3e-20
ofav44265	Growth factor receptor-bound protein 2 OS=Mus musculus GN=Grb2 PE=1 SV=1 E(blastx)=7e-99
ofav75527	Carnosine N-methyltransferase OS=Mus musculus GN=Carnmt1 PE=1 SV=1 E(blastx)=3e-173
ofav19851	Transmembrane 9 superfamily member 2 OS=Mus musculus GN=Tm9sf2 PE=1 SV=1 E(blastx)=6e-62
ofav148534	Potassium voltage-gated channel subfamily H member 2 OS=Oryctolagus cuniculus GN=KCNH2 PE=2 SV=3 E(blastx)=1e-30
ofav53768	Sorting nexin-16 OS=Mus musculus GN=Snx16 PE=1 SV=2 E(blastx)=6e-142
ofav6154	Serine/threonine-protein kinase SMG1 OS=Mus musculus GN=Smg1 PE=1 SV=3 E(blastx)=2e-27
ofav81862	DNA-directed RNA polymerase III subunit RPC2 OS=Mus musculus GN=Polr3b PE=1 SV=2 E(blastx)=1e-30
ofav45568	Cyclic AMP-dependent transcription factor ATF-7 OS=Pongo abelii GN=ATF7 PE=2 SV=1 E(blastx)=3e-36
ofav4607	ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Gallus gallus GN=ARL6IP4 PE=2 SV=1 E(blastx)=4e-17
ofav47043	60S ribosomal protein L24 OS=Rattus norvegicus GN=Rpl24 PE=2 SV=1 E(blastx)=5e-76
ofav16387	Zinc finger FYVE domain-containing protein 26 OS=Homo sapiens GN=ZFYVE26 PE=1 SV=3 E(blastx)=2e-10
ofav60586	Membrane-bound transcription factor site-1 protease OS=Rattus norvegicus GN=Mbtps1 PE=1 SV=2 E(blastx)=2e-11
ofav84524	Interferon regulatory factor 2-binding protein-like OS=Mus musculus GN=Irf2bpl PE=1 SV=1 E(blastx)=1e-132
ofav53861	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 OS=Mus musculus GN=Pin4 PE=1 SV=1 E(blastx)=2e-70
ofav49552	Protein FAM149A OS=Mus musculus GN=Fam149a PE=2 SV=1 E(blastx)=4e-27
ofav15581	COMM domain-containing protein 7 OS=Bos taurus GN=COMMD7 PE=2 SV=1 E(blastx)=1e-59
ofav120052	Glucose-6-phosphate 1-dehydrogenase OS=Cricetulus griseus GN=G6PD PE=2 SV=3 E(blastx)=3e-48
ofav81764	Probable E3 ubiquitin-protein ligase HECTD4 OS=Homo sapiens GN=HECTD4 PE=1 SV=5 E(blastx)=6e-20
ofav46127	Oncoprotein-induced transcript 3 protein OS=Mus musculus GN=Oit3 PE=2 SV=2 E(blastx)=2e-33
ofav138852	ATP-binding cassette sub-family C member 8 OS=Rattus norvegicus GN=Abcc8 PE=1 SV=4 E(blastx)=8e-94
ofav46803	Insulin-like peptide receptor OS=Branchiostoma lanceolatum PE=2 SV=1 E(blastx)=5e-168
ofav15958	RNA polymerase II-associated factor 1 homolog OS=Xenopus tropicalis GN=paf1 PE=2 SV=1 E(blastx)=7e-51
ofav96338	Methylenetetrahydrofolate reductase OS=Homo sapiens GN=MTHFR PE=1 SV=3 E(blastx)=1e-45
ofav6231	Transcription factor HES-4 OS=Xenopus tropicalis GN=hes4 PE=2 SV=1 E(blastx)=2e-35
ofav32239	E3 ubiquitin-protein ligase rififylin OS=Mus musculus GN=Rffl PE=1 SV=1 E(blastx)=8e-51
ofav5823	Mucin-like protein (Fragment) OS=Acropora millepora PE=1 SV=1 E(blastx)=5e-34
ofav131840	Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1 PE=1 SV=1 E(blastx)=3e-51
ofav19236	Constitutive coactivator of PPAR-gamma-like protein 1 homolog OS=Xenopus tropicalis GN=fam120a PE=2 SV=1 E(blastx)=2e-32
ofav97605	Heat shock 70 kDa protein 12B OS=Homo sapiens GN=HSPA12B PE=1 SV=2 E(blastx)=2e-08
ofav125900	Synaptojanin-1 OS=Rattus norvegicus GN=Synj1 PE=1 SV=3 E(blastx)=2e-17
ofav146735	40S ribosomal protein S4 OS=Yarrowia lipolytica (strain CLIB 122 / E 150) GN=RPS4 PE=2 SV=1 E(blastx)=1e-36
ofav43511	Laminin subunit beta-1 OS=Drosophila melanogaster GN=LanB1 PE=1 SV=4 E(blastx)=3e-48
ofav89871	Spectrin beta chain OS=Drosophila melanogaster GN=beta-Spec PE=1 SV=2 E(blastx)=4e-26
ofav23849	Eukaryotic translation initiation factor 4H OS=Mus musculus GN=Eif4h PE=1 SV=3 E(blastx)=2e-109
ofav67036	Structural maintenance of chromosomes protein 1A OS=Rattus norvegicus GN=Smc1a PE=1 SV=1 E(blastx)=4e-30
ofav51507	Protein scalloped (Fragment) OS=Junonia coenia GN=SD PE=2 SV=1 E(blastx)=2e-38
ofav58440	Krueppel-like factor 9 OS=Rattus norvegicus GN=Klf9 PE=2 SV=1 E(blastx)=3e-152
ofav44732	Calcium/calmodulin-dependent protein kinase type II alpha chain OS=Drosophila melanogaster GN=CaMKII PE=1 SV=1 E(blastx)=2e-61
ofav77612	Polycystic kidney disease protein 1-like 2 OS=Mus musculus GN=Pkd1l2 PE=2 SV=1 E(blastx)=2e-07
ofav15359	Synaptotagmin-like protein 5 OS=Rattus norvegicus GN=Sytl5 PE=2 SV=1 E(blastx)=7e-26
ofav72411	F-box/WD repeat-containing protein 5 OS=Homo sapiens GN=FBXW5 PE=1 SV=1 E(blastx)=7e-08
ofav115556	Poly [ADP-ribose] polymerase 1 OS=Bos taurus GN=PARP1 PE=2 SV=2 E(blastx)=2e-18
